CMDLINE /mnt/data/apps/miniconda3/envs/radar_sort/bin/python3.11 main_pipeline.py --no-skip-existing
MEM 0.250000 1753852745.8164
MEM 25.679688 1753852745.9170
MEM 43.109375 1753852746.0175
MEM 51.289062 1753852746.1180
MEM 51.414062 1753852746.2183
MEM 52.039062 1753852746.3186
MEM 54.039062 1753852746.4193
MEM 57.289062 1753852746.5196
MEM 58.539062 1753852746.6198
MEM 61.039062 1753852746.7201
MEM 65.414062 1753852746.8204
MEM 67.414062 1753852746.9206
MEM 70.539062 1753852747.0211
MEM 70.914062 1753852747.1216
MEM 72.664062 1753852747.2220
MEM 76.414062 1753852747.3226
MEM 84.738281 1753852747.4231
MEM 88.613281 1753852747.5235
MEM 94.738281 1753852747.6240
MEM 98.488281 1753852747.7245
MEM 98.988281 1753852747.8250
MEM 99.238281 1753852747.9254
MEM 103.988281 1753852748.0259
MEM 106.238281 1753852748.1264
MEM 109.113281 1753852748.2266
MEM 114.238281 1753852748.3270
MEM 116.238281 1753852748.4275
MEM 121.113281 1753852748.5280
MEM 122.488281 1753852748.6285
MEM 122.738281 1753852748.7290
MEM 124.113281 1753852748.8295
MEM 129.613281 1753852748.9299
MEM 130.988281 1753852749.0304
MEM 133.863281 1753852749.1308
MEM 136.863281 1753852749.2314
MEM 144.613281 1753852749.3318
MEM 178.613281 1753852749.4322
MEM 209.488281 1753852749.5325
MEM 259.863281 1753852749.6328
MEM 279.488281 1753852749.7332
MEM 291.238281 1753852749.8335
MEM 299.988281 1753852749.9340
MEM 301.988281 1753852750.0344
MEM 316.613281 1753852750.1349
MEM 330.113281 1753852750.2352
MEM 339.488281 1753852750.3355
MEM 349.488281 1753852750.4358
MEM 365.613281 1753852750.5362
MEM 406.738281 1753852750.6368
MEM 407.738281 1753852750.7374
MEM 408.863281 1753852750.8377
MEM 412.238281 1753852750.9383
MEM 412.738281 1753852751.0388
MEM 414.738281 1753852751.1395
MEM 416.238281 1753852751.2400
MEM 417.988281 1753852751.3407
MEM 418.988281 1753852751.4414
MEM 420.988281 1753852751.5420
